ticker,name,isin,cnpj,segment,type,price,nav,dy,dy_months,dy_avg_month_6m,pvp,liquidity,pl,vacancy,properties,shareholders,shares,admin_fee,growth_12m,growth_pl_12m,growth_shareholders_12m,change_30d,high_252d,low_252d,report_date,price_date,price_stale_days,dividend_source,score,classification,flags,score_valuation,score_income,score_liquidity,score_size,score_operational,score_growth
CCME11,CANUMA CAPITAL FII,BRCCMECTF007,43010844000126,Multicategoria,Híbrido,8.76,10.567928,6.4151,12,0.18785,0.8289231342227161,170606.5453333333,716474395.57,,1.0,9423.0,67797053.0,0.001125,8.123245619454867,2.235601946713728,14.010889292196005,5.797101449275366,9.65,7.92,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.4,Oportunidade,,100.0,15.7,0.0,32.6,55.0,60.4
RDLI11,RBR DESENV LOG I FII,BRRDLICTF006,53391567000100,Logística,Tijolo,13.99,20.000605,26.602824000000002,12,2.175666666666667,0.6994788407650668,1736.3173333333332,38485024.77,,,308.0,1924193.0,0.003847,-19.309813979432604,-74.90281379957317,36.28318584070796,-33.349213911386364,125.0,7.52,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.2,Risco,,100.0,60.0,0.0,0.0,55.0,0.0
MMPD11,MAUA MPD FII RL,BRMMPDCTF000,41080968000152,Multicategoria,Híbrido,67.92,66.165312,24.090799999999998,12,2.67595,1.0265197570594091,1008803.42,35100499.35,,,104.0,530497.0,0.002026,-19.414242972351165,-40.78927025842781,1.9607843137254832,1.0113027959548049,67.92,67.24,2026-07-01,2026-07-10,69,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.1,Oportunidade,preco_defasado,73.5,60.0,41.4,0.0,55.0,0.0
BARI11,VBI RENDIMENTOS IMOBILIARIOS I FII RESP LIMITADA,BRBARICTF003,29267567000100,Outros,Outros,79.2,78.481069759533,7.2493,7,1.03125,1.0091605560763866,1110079.2473333334,363696267.15,,2.0,31765.0,4634191.0,0.0012323129228465,,,,2.048705063780454,79.85,60.5,2025-08-01,2025-07-22,422,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.6,Oportunidade,"preco_defasado,dy_parcial_7_meses",76.1,25.0,43.8,15.3,55.0,50.0
FLRP11,HEDGE FLORIPA SHOPPING FII,BRFLRPCTF006,10375382000191,Shoppings,Tijolo,20.2,20.993989283871,8.5792,12,0.71175,0.9621801615150392,18338.234666666664,162703416.95,,,1841.0,7750000.0,0.000532,12.858872316179626,8.157080519970993,17.56066411238826,0.64773293472844,22.39,19.35,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.6,Oportunidade,,83.2,39.8,0.0,0.0,55.0,76.2
RZZV11,RAIZZ DESENV FII,BRRZZVCTF002,51786271000155,Logística,Tijolo,1050.0,1265.332619,2.8648,12,0.13566666666666666,0.8298213325361211,270585.71428571426,219585822.72,,,131.0,173540.0,0.000151,19.066000801778515,37.36277083432626,0.7692307692307665,5.000000000000004,1100.0,1000.0,2026-07-01,2025-12-04,287,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.5,Oportunidade,preco_defasado,100.0,0.0,7.7,2.4,55.0,96.9
CXAG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGENCIAS,BRCXAGCTF003,40189596000134,Varejo,Tijolo,73.55,103.471177138276,7.9314,12,0.6584500000000001,0.710825971388243,452237.05399999995,216319015.82,,1.0,11179.0,2090621.0,0.0,-6.116249980598809,-6.323906408466362,-5.908593552731256,-0.32524732348557794,80.0,69.25,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.5,Oportunidade,,100.0,32.6,20.9,2.0,55.0,12.9
RINV11,RINV FII,BRRINVCTF004,44625612000145,Multicategoria,Híbrido,102.35,101.628903,5.6442000000000005,12,0.0,1.0070953929316742,648494.7359999999,511363710.42,,,4717.0,5031676.0,0.000899,37.59146583041904,52.8540934865642,22.32883817427387,3.48837209302324,113.0,94.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.5,Oportunidade,,76.4,7.2,30.1,24.0,55.0,100.0
RBRP11,FUNDO DE INVESTIMENTO IMOBILIARIO PÁTRIA PROPERTIES,BRRBRPCTF002,21408063000151,Outros,Outros,50.0,78.4624427754199,5.5057,11,0.4834,0.6372475573200431,824757.1783333335,955608758.18,,,52621.0,12179186.9380769,0.000520910493692,-6.802950967318794,2.5239015431520517,-16.12980347778964,19.07597046915932,56.98,41.1,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.4,Oportunidade,,100.0,5.6,36.2,40.0,55.0,10.7
NCRI11,NAVI CREDITO IMOBILIARIO - FII,BRNCRICTF004,40041603000156,Outros,Outros,8.61,10.0093241238795,,0,,0.860197940783924,62624.39,39536820.28,,,1349.0,3949999.0,0.0013669715879336,6.56563661737336,0.8082091215077636,12.323064113238956,-2.601809954751133,9.98,8.08,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.4,Oportunidade,,98.5,35.0,0.0,0.0,55.0,55.2
